,status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,Year,Month,prone_to_calamity,price
53838,for_sale,3,1,0.65,West Springfield,Massachusetts,1089,1424,6/28/2004,2004,June,1,299000
53839,for_sale,4,2,0.3,South Hadley,Massachusetts,1075,2112,5/24/2001,2001,May,0,295000
53843,for_sale,3,1,0.8,Easthampton,Massachusetts,1027,1040,7/21/2006,2006,July,1,309000
53846,for_sale,6,2,0.23,Holyoke,Massachusetts,1040,2399,9/5/2017,2017,September,1,339000
53848,for_sale,6,2,0.13,Chicopee,Massachusetts,1020,2288,6/3/2019,2019,June,1,294900
53850,for_sale,3,4,3.04,Amherst,Massachusetts,1002,2074,6/21/2006,2006,June,0,975000
53852,for_sale,4,1,1.06,Holyoke,Massachusetts,1040,1243,8/30/1988,1988,August,1,279900
53853,for_sale,4,4,0.77,Amherst,Massachusetts,1002,3879,8/11/1993,1993,August,0,699900
53855,for_sale,5,4,0.64,Amherst,Massachusetts,1002,2363,7/28/2004,2004,July,0,650000
53857,for_sale,3,3,1.4,Buckland,Massachusetts,1339,2234,7/29/2005,2005,July,0,349900
